id,paragraphs
6,FIRE  & BLOOD
8,GEORGE R. R. MARTIN
32,Banta1n Boc)ks
35,"Fire & Blood is a work of fiction. Names, places, and incidents are products of the author’s imagination or are used fictitiously. Any resemblance to actual events, locales, or persons, living or dead, is entirely coincidental."
36,Copyright © 2018 by George R. R. Martin Illustrations copyright © 2018 by Penguin Random House LLC
37,All rights reserved.
38,"Published in the United States by Bantam Books, an imprint of Random House, a division of Penguin Random House LLC, New York."
39,BANTAM BOOKS and the HOUSE colophon are registered trademarks of Penguin Random House LLC.
40,"Portions of this book were previously published, some in an abridged form, as:"
41,"“Conquest,” published in The World of Ice & Fire by George R. R. Martin, Elio M. García, Jr., and Linda Antonssen, copyright © 2014 by George R. R. Martin;"
42,"“The Sons of the Dragon,” published in The Book of Swords (edited by Gardner Dozois), copyright © 2017 by George R. R. Martin;"
43,"“The Princess and the Queen,” published in Dangerous Women (edited by George R. R. Martin and Gardner Dozois), copyright © 2013 by George R. R. Martin and Gardner Dozois;"
44,"“The Rogue Prince,” published in Rogues (edited by George R. R. Martin and Gardner Dozois), copyright © 2014 by George R. R. Martin and Gardner Dozois."
45,Hardback ISBN	9781524796280
46,Ebook ISBN	9781524796297
48,"Book design by Virginia Norey, adapted for ebook"
49,Cover design: David G. Stevenson Cover illustration: Bastien Lecouffe Deharme
55,Cover Title Page Copyright
73,Lineages and Family Tree The Targaryen Succession Dedication
74,By George R. R. Martin About the Author About the Illustrator
92,"
,t/""'''""J'{/If,,, tf,,,, u.-""M)"
95,",(.1,,a '""""77''-·'o/""""·.uz(I-""' @u,r,,,1a,,,'1/"
96,"o/'L,, ,;/4ma,:,;i,;:i  f7i£.7,n•"
97,",{tk /ittu/41'f'LJl,1 ,,,"
98,"(de,,,,m,,,,.,-t«!lyfu,';J';,a a. f/?a-,.-1;.;,)"
101,"he maesters of the Citadel who keep the histories of Westeros have used Aegon’s Conquest as their touchstone for the past three hundred years. Births, deaths, battles, and other events are dated"
102,either AC (After the Conquest) or BC (Before the Conquest).
103,"True scholars know that such dating is far from precise. Aegon Targaryen’s conquest of the Seven Kingdoms did not take place in a single day. More than two years passed between Aegon’s landing and his Oldtown coronation…and even then the Conquest remained incomplete, since Dorne remained unsubdued. Sporadic attempts to bring the Dornishmen into the realm continued all through King Aegon’s reign and well into the reigns of his sons, making it impossible to fix a precise end date for the Wars of Conquest."
104,"Even the start date is a matter of some misconception. Many assume, wrongly, that the reign of King Aegon I Targaryen began on the day he landed at the mouth of the Blackwater Rush, beneath the three hills where the city of King’s Landing would eventually stand. Not so. The day of Aegon’s Landing was celebrated by the king and his descendants, but the Conqueror actually dated the start of his reign from the day he was crowned and anointed in the Starry Sept of Oldtown by the High Septon of the Faith. This coronation took place two years after Aegon’s Landing, well after all three of the major"
106,"battles of the Wars of Conquest had been fought and won. Thus it can be seen that most of Aegon’s actual conquering took place from 2–1 BC, Before the Conquest."
107,"The Targaryens were of pure Valyrian blood, dragonlords of ancient lineage. Twelve years before the Doom of Valyria (114 BC), Aenar Targaryen sold his holdings in the Freehold and the Lands of the Long Summer, and moved with all his wives, wealth, slaves, dragons, siblings, kin, and children to Dragonstone, a bleak island citadel beneath a smoking mountain in the narrow sea."
108,"At its apex Valyria was the greatest city in the known world, the center of civilization. Within its shining walls, twoscore rival houses vied for power and glory in court and council, rising and falling in an endless, subtle, oft savage struggle for dominance. The Targaryens were far from the most powerful of the dragonlords, and their rivals saw their flight to Dragonstone as an act of surrender, as cowardice. But Lord Aenar’s maiden daughter Daenys, known forever afterward as Daenys the Dreamer, had foreseen the destruction of Valyria by fire. And when the Doom came twelve years later, the Targaryens were the only dragonlords to survive."
109,"Dragonstone had been the westernmost outpost of Valyrian power for two centuries. Its location athwart the Gullet gave its lords a stranglehold on Blackwater Bay and enabled both the Targaryens and their close allies, the Velaryons of Driftmark (a lesser house of Valyrian descent) to fill their coffers off the passing trade. Velaryon ships, along with those of another allied Valyrian house, the Celtigars of Claw Isle, dominated the middle reaches of the narrow sea, whilst the Targaryens ruled the skies with their dragons."
110,"Yet even so, for the best part of a hundred years after the Doom of Valyria (the rightly named Century of Blood), House Targaryen looked east, not west, and took little interest in the affairs of Westeros. Gaemon Targaryen, brother and husband to Daenys the Dreamer, followed Aenar the Exile as Lord of Dragonstone, and became known as Gaemon the Glorious. Gaemon’s son Aegon and his daughter Elaena ruled together after his death. After them the lordship passed to their son Maegon, his brother Aerys, and Aerys’s sons, Aelyx, Baelon, and Daemion. The last of the three brothers was Daemion, whose son Aerion then succeeded to Dragonstone."
111,The Aegon who would be known to history as Aegon the Conqueror
113,"and Aegon the Dragon was born on Dragonstone in 27 BC. He was the only son, and second child, of Aerion, Lord of Dragonstone, and Lady Valaena of House Velaryon, herself half Targaryen on her mother’s side. Aegon had two trueborn siblings; an elder sister, Visenya, and a younger sister, Rhaenys. It had long been the custom amongst the dragonlords of Valyria to wed brother to sister, to keep the bloodlines pure, but Aegon took both his sisters to bride. By tradition, he would have been expected to wed only his older sister, Visenya; the inclusion of Rhaenys as a second wife was unusual, though not without precedent. It was said by some that Aegon wed Visenya out of duty and Rhaenys out of desire."
114,"All three siblings had shown themselves to be dragonlords before they wed. Of the five dragons who had flown with Aenar the Exile from Valyria, only one survived to Aegon’s day: the great beast called Balerion, the Black Dread. The dragons Vhagar and Meraxes were younger, hatched on Dragonstone itself."
115,"A common myth, oft heard amongst the ignorant, claims that Aegon Targaryen had never set foot upon the soil of Westeros until the day he set sail to conquer it, but this cannot be truth. Years before that sailing, the Painted Table had been carved and decorated at Lord Aegon’s command; a massive slab of wood, some fifty feet long, carved in the shape of Westeros, and painted to show all the woods and rivers and towns and castles of the Seven Kingdoms. Plainly, Aegon’s interest in Westeros long predated the events that drove him to war. As well, there are reliable reports of Aegon and his sister Visenya visiting the Citadel of Oldtown in their youth, and hawking on the Arbor as guests of Lord Redwyne. He may have visited Lannisport as well; accounts differ."
116,"The Westeros of Aegon’s youth was divided into seven quarrelsome kingdoms, and there was hardly a time when two or three of these kingdoms were not at war with one another. The vast, cold, stony North was ruled by the Starks of Winterfell. In the deserts of Dorne, the Martell princes held sway. The gold-rich westerlands were ruled by the Lannisters of Casterly Rock, the fertile Reach by the Gardeners of Highgarden. The Vale, the Fingers, and the Mountains of the Moon belonged to House Arryn…but the most belligerent kings of Aegon’s time were the two whose realms lay closest to Dragonstone, Harren the Black and Argilac the Arrogant."
118,"From their great citadel, Storm’s End, the Storm Kings of House Durrandon had once ruled the eastern half of Westeros, from Cape Wrath to the Bay of Crabs, but their powers had been dwindling for centuries. The Kings of the Reach had nibbled at their domains from the west, the Dornishmen harassed them from the south, and Harren the Black and his ironmen had pushed them from the Trident and the lands north of the Blackwater Rush. King Argilac, last of the Durrandon, had arrested this decline for a time, turning back a Dornish invasion whilst still a boy, crossing the narrow sea to join the great alliance against the imperialist “tigers” of Volantis, and slaying Garse VII Gardener, King of the Reach, in the Battle of Summerfield twenty years later. But Argilac had grown older; his famous mane of black hair had gone grey, and his prowess at arms had faded."
119,"North of the Blackwater, the riverlands were ruled by the bloody hand of Harren the Black of House Hoare, King of the Isles and the Rivers. Harren’s ironborn grandsire, Harwyn Hardhand, had taken the Trident from Argilac’s grandsire, Arrec, whose own forebears had thrown down the last of the river kings centuries earlier. Harren’s father had extended his domains east to Duskendale and Rosby. Harren himself had devoted most of his long reign, close on forty years, to building a gigantic castle beside the Gods Eye, but with Harrenhal at last nearing completion, the ironborn would soon be free to seek fresh conquests."
