id,paragraphs,cleaned_paragraphs
6,FIRE  & BLOOD,FIRE & BLOOD
8,GEORGE R. R. MARTIN,GEORGE R. R. MARTIN
32,Banta1n Boc)ks,Banta1n Boc ) ks
35,"Fire & Blood is a work of fiction. Names, places, and incidents are products of the author’s imagination or are used fictitiously. Any resemblance to actual events, locales, or persons, living or dead, is entirely coincidental.",Fire & Blood work fiction . Names places incidents products author ’ imagination used fictitiously . Any resemblance actual events locales persons living dead entirely coincidental .
36,Copyright © 2018 by George R. R. Martin Illustrations copyright © 2018 by Penguin Random House LLC,Copyright © 2018 George R. R. Martin Illustrations copyright © 2018 Penguin Random House LLC
37,All rights reserved.,All rights reserved .
38,"Published in the United States by Bantam Books, an imprint of Random House, a division of Penguin Random House LLC, New York.",Published United States Bantam Books imprint Random House division Penguin Random House LLC New York .
39,BANTAM BOOKS and the HOUSE colophon are registered trademarks of Penguin Random House LLC.,BANTAM BOOKS HOUSE colophon registered trademarks Penguin Random House LLC .
40,"Portions of this book were previously published, some in an abridged form, as:",Portions book previously published abridged form :
41,"“Conquest,” published in The World of Ice & Fire by George R. R. Martin, Elio M. García, Jr., and Linda Antonssen, copyright © 2014 by George R. R. Martin;",“ Conquest ” published The World Ice & Fire George R. R. Martin Elio M. García Jr. Linda Antonssen copyright © 2014 George R. R. Martin ;
42,"“The Sons of the Dragon,” published in The Book of Swords (edited by Gardner Dozois), copyright © 2017 by George R. R. Martin;",“ The Sons Dragon ” published The Book Swords ( edited Gardner Dozois ) copyright © 2017 George R. R. Martin ;
43,"“The Princess and the Queen,” published in Dangerous Women (edited by George R. R. Martin and Gardner Dozois), copyright © 2013 by George R. R. Martin and Gardner Dozois;",“ The Princess Queen ” published Dangerous Women ( edited George R. R. Martin Gardner Dozois ) copyright © 2013 George R. R. Martin Gardner Dozois ;
44,"“The Rogue Prince,” published in Rogues (edited by George R. R. Martin and Gardner Dozois), copyright © 2014 by George R. R. Martin and Gardner Dozois.",“ The Rogue Prince ” published Rogues ( edited George R. R. Martin Gardner Dozois ) copyright © 2014 George R. R. Martin Gardner Dozois .
45,Hardback ISBN	9781524796280,Hardback ISBN 9781524796280
46,Ebook ISBN	9781524796297,Ebook ISBN 9781524796297
48,"Book design by Virginia Norey, adapted for ebook",Book design Virginia Norey adapted ebook
49,Cover design: David G. Stevenson Cover illustration: Bastien Lecouffe Deharme,Cover design : David G. Stevenson Cover illustration : Bastien Lecouffe Deharme
55,Cover Title Page Copyright,Cover Title Page Copyright
73,Lineages and Family Tree The Targaryen Succession Dedication,Lineages Family Tree The Targaryen Succession Dedication
74,By George R. R. Martin About the Author About the Illustrator,By George R. R. Martin About Author About Illustrator
92,"
,t/""'''""J'{/If,,, tf,,,, u.-""M)",t/ '' '' ' '' J ' { /If tf u.- '' M )
95,",(.1,,a '""""77''-·'o/""""·.uz(I-""' @u,r,,,1a,,,'1/",( .1a ' '' '' 77 '' -· ' o/ '' '' ·.uz ( I- '' ' @ ur1a ' 1/
96,"o/'L,, ,;/4ma,:,;i,;:i  f7i£.7,n•",o/ ' L ; /4ma : ; ; : f7i£.7n•
97,",{tk /ittu/41'f'LJl,1 ,,,",{ tk /ittu/41 ' f'LJl1
98,"(de,,,,m,,,,.,-t«!lyfu,';J';,a a. f/?a-,.-1;.;,)",( dem.-t « ! lyfu ' ; J ' ; . f/ ? a-.-1 ; . ; )
101,"he maesters of the Citadel who keep the histories of Westeros have used Aegon’s Conquest as their touchstone for the past three hundred years. Births, deaths, battles, and other events are dated",maesters Citadel keep histories Westeros used Aegon ’ Conquest touchstone past three hundred years . Births deaths battles events dated
102,either AC (After the Conquest) or BC (Before the Conquest).,either AC ( After Conquest ) BC ( Before Conquest ) .
103,"True scholars know that such dating is far from precise. Aegon Targaryen’s conquest of the Seven Kingdoms did not take place in a single day. More than two years passed between Aegon’s landing and his Oldtown coronation…and even then the Conquest remained incomplete, since Dorne remained unsubdued. Sporadic attempts to bring the Dornishmen into the realm continued all through King Aegon’s reign and well into the reigns of his sons, making it impossible to fix a precise end date for the Wars of Conquest.",True scholars know dating far precise . Aegon Targaryen ’ conquest Seven Kingdoms take place single day . More two years passed Aegon ’ landing Oldtown coronation…and even Conquest remained incomplete since Dorne remained unsubdued . Sporadic attempts bring Dornishmen realm continued King Aegon ’ reign well reigns sons making impossible fix precise end date Wars Conquest .
104,"Even the start date is a matter of some misconception. Many assume, wrongly, that the reign of King Aegon I Targaryen began on the day he landed at the mouth of the Blackwater Rush, beneath the three hills where the city of King’s Landing would eventually stand. Not so. The day of Aegon’s Landing was celebrated by the king and his descendants, but the Conqueror actually dated the start of his reign from the day he was crowned and anointed in the Starry Sept of Oldtown by the High Septon of the Faith. This coronation took place two years after Aegon’s Landing, well after all three of the major",Even start date matter misconception . Many assume wrongly reign King Aegon I Targaryen began day landed mouth Blackwater Rush beneath three hills city King ’ Landing would eventually stand . Not . The day Aegon ’ Landing celebrated king descendants Conqueror actually dated start reign day crowned anointed Starry Sept Oldtown High Septon Faith . This coronation took place two years Aegon ’ Landing well three major
106,"battles of the Wars of Conquest had been fought and won. Thus it can be seen that most of Aegon’s actual conquering took place from 2–1 BC, Before the Conquest.",battles Wars Conquest fought . Thus seen Aegon ’ actual conquering took place 2–1 BC Before Conquest .
107,"The Targaryens were of pure Valyrian blood, dragonlords of ancient lineage. Twelve years before the Doom of Valyria (114 BC), Aenar Targaryen sold his holdings in the Freehold and the Lands of the Long Summer, and moved with all his wives, wealth, slaves, dragons, siblings, kin, and children to Dragonstone, a bleak island citadel beneath a smoking mountain in the narrow sea.",The Targaryens pure Valyrian blood dragonlords ancient lineage . Twelve years Doom Valyria ( 114 BC ) Aenar Targaryen sold holdings Freehold Lands Long Summer moved wives wealth slaves dragons siblings kin children Dragonstone bleak island citadel beneath smoking mountain narrow sea .
108,"At its apex Valyria was the greatest city in the known world, the center of civilization. Within its shining walls, twoscore rival houses vied for power and glory in court and council, rising and falling in an endless, subtle, oft savage struggle for dominance. The Targaryens were far from the most powerful of the dragonlords, and their rivals saw their flight to Dragonstone as an act of surrender, as cowardice. But Lord Aenar’s maiden daughter Daenys, known forever afterward as Daenys the Dreamer, had foreseen the destruction of Valyria by fire. And when the Doom came twelve years later, the Targaryens were the only dragonlords to survive.",At apex Valyria greatest city known world center civilization . Within shining walls twoscore rival houses vied power glory court council rising falling endless subtle oft savage struggle dominance . The Targaryens far powerful dragonlords rivals saw flight Dragonstone act surrender cowardice . But Lord Aenar ’ maiden daughter Daenys known forever afterward Daenys Dreamer foreseen destruction Valyria fire . And Doom came twelve years later Targaryens dragonlords survive .
109,"Dragonstone had been the westernmost outpost of Valyrian power for two centuries. Its location athwart the Gullet gave its lords a stranglehold on Blackwater Bay and enabled both the Targaryens and their close allies, the Velaryons of Driftmark (a lesser house of Valyrian descent) to fill their coffers off the passing trade. Velaryon ships, along with those of another allied Valyrian house, the Celtigars of Claw Isle, dominated the middle reaches of the narrow sea, whilst the Targaryens ruled the skies with their dragons.",Dragonstone westernmost outpost Valyrian power two centuries . Its location athwart Gullet gave lords stranglehold Blackwater Bay enabled Targaryens close allies Velaryons Driftmark ( lesser house Valyrian descent ) fill coffers passing trade . Velaryon ships along another allied Valyrian house Celtigars Claw Isle dominated middle reaches narrow sea whilst Targaryens ruled skies dragons .
110,"Yet even so, for the best part of a hundred years after the Doom of Valyria (the rightly named Century of Blood), House Targaryen looked east, not west, and took little interest in the affairs of Westeros. Gaemon Targaryen, brother and husband to Daenys the Dreamer, followed Aenar the Exile as Lord of Dragonstone, and became known as Gaemon the Glorious. Gaemon’s son Aegon and his daughter Elaena ruled together after his death. After them the lordship passed to their son Maegon, his brother Aerys, and Aerys’s sons, Aelyx, Baelon, and Daemion. The last of the three brothers was Daemion, whose son Aerion then succeeded to Dragonstone.",Yet even best part hundred years Doom Valyria ( rightly named Century Blood ) House Targaryen looked east west took little interest affairs Westeros . Gaemon Targaryen brother husband Daenys Dreamer followed Aenar Exile Lord Dragonstone became known Gaemon Glorious . Gaemon ’ son Aegon daughter Elaena ruled together death . After lordship passed son Maegon brother Aerys Aerys ’ sons Aelyx Baelon Daemion . The last three brothers Daemion whose son Aerion succeeded Dragonstone .
111,The Aegon who would be known to history as Aegon the Conqueror,The Aegon would known history Aegon Conqueror
113,"and Aegon the Dragon was born on Dragonstone in 27 BC. He was the only son, and second child, of Aerion, Lord of Dragonstone, and Lady Valaena of House Velaryon, herself half Targaryen on her mother’s side. Aegon had two trueborn siblings; an elder sister, Visenya, and a younger sister, Rhaenys. It had long been the custom amongst the dragonlords of Valyria to wed brother to sister, to keep the bloodlines pure, but Aegon took both his sisters to bride. By tradition, he would have been expected to wed only his older sister, Visenya; the inclusion of Rhaenys as a second wife was unusual, though not without precedent. It was said by some that Aegon wed Visenya out of duty and Rhaenys out of desire.",Aegon Dragon born Dragonstone 27 BC . He son second child Aerion Lord Dragonstone Lady Valaena House Velaryon half Targaryen mother ’ side . Aegon two trueborn siblings ; elder sister Visenya younger sister Rhaenys . It long custom amongst dragonlords Valyria wed brother sister keep bloodlines pure Aegon took sisters bride . By tradition would expected wed older sister Visenya ; inclusion Rhaenys second wife unusual though without precedent . It said Aegon wed Visenya duty Rhaenys desire .
114,"All three siblings had shown themselves to be dragonlords before they wed. Of the five dragons who had flown with Aenar the Exile from Valyria, only one survived to Aegon’s day: the great beast called Balerion, the Black Dread. The dragons Vhagar and Meraxes were younger, hatched on Dragonstone itself.",All three siblings shown dragonlords wed. Of five dragons flown Aenar Exile Valyria one survived Aegon ’ day : great beast called Balerion Black Dread . The dragons Vhagar Meraxes younger hatched Dragonstone .
115,"A common myth, oft heard amongst the ignorant, claims that Aegon Targaryen had never set foot upon the soil of Westeros until the day he set sail to conquer it, but this cannot be truth. Years before that sailing, the Painted Table had been carved and decorated at Lord Aegon’s command; a massive slab of wood, some fifty feet long, carved in the shape of Westeros, and painted to show all the woods and rivers and towns and castles of the Seven Kingdoms. Plainly, Aegon’s interest in Westeros long predated the events that drove him to war. As well, there are reliable reports of Aegon and his sister Visenya visiting the Citadel of Oldtown in their youth, and hawking on the Arbor as guests of Lord Redwyne. He may have visited Lannisport as well; accounts differ.",A common myth oft heard amongst ignorant claims Aegon Targaryen never set foot upon soil Westeros day set sail conquer truth . Years sailing Painted Table carved decorated Lord Aegon ’ command ; massive slab wood fifty feet long carved shape Westeros painted show woods rivers towns castles Seven Kingdoms . Plainly Aegon ’ interest Westeros long predated events drove war . As well reliable reports Aegon sister Visenya visiting Citadel Oldtown youth hawking Arbor guests Lord Redwyne . He may visited Lannisport well ; accounts differ .
116,"The Westeros of Aegon’s youth was divided into seven quarrelsome kingdoms, and there was hardly a time when two or three of these kingdoms were not at war with one another. The vast, cold, stony North was ruled by the Starks of Winterfell. In the deserts of Dorne, the Martell princes held sway. The gold-rich westerlands were ruled by the Lannisters of Casterly Rock, the fertile Reach by the Gardeners of Highgarden. The Vale, the Fingers, and the Mountains of the Moon belonged to House Arryn…but the most belligerent kings of Aegon’s time were the two whose realms lay closest to Dragonstone, Harren the Black and Argilac the Arrogant.",The Westeros Aegon ’ youth divided seven quarrelsome kingdoms hardly time two three kingdoms war one another . The vast cold stony North ruled Starks Winterfell . In deserts Dorne Martell princes held sway . The gold-rich westerlands ruled Lannisters Casterly Rock fertile Reach Gardeners Highgarden . The Vale Fingers Mountains Moon belonged House Arryn…but belligerent kings Aegon ’ time two whose realms lay closest Dragonstone Harren Black Argilac Arrogant .
118,"From their great citadel, Storm’s End, the Storm Kings of House Durrandon had once ruled the eastern half of Westeros, from Cape Wrath to the Bay of Crabs, but their powers had been dwindling for centuries. The Kings of the Reach had nibbled at their domains from the west, the Dornishmen harassed them from the south, and Harren the Black and his ironmen had pushed them from the Trident and the lands north of the Blackwater Rush. King Argilac, last of the Durrandon, had arrested this decline for a time, turning back a Dornish invasion whilst still a boy, crossing the narrow sea to join the great alliance against the imperialist “tigers” of Volantis, and slaying Garse VII Gardener, King of the Reach, in the Battle of Summerfield twenty years later. But Argilac had grown older; his famous mane of black hair had gone grey, and his prowess at arms had faded.",From great citadel Storm ’ End Storm Kings House Durrandon ruled eastern half Westeros Cape Wrath Bay Crabs powers dwindling centuries . The Kings Reach nibbled domains west Dornishmen harassed south Harren Black ironmen pushed Trident lands north Blackwater Rush . King Argilac last Durrandon arrested decline time turning back Dornish invasion whilst still boy crossing narrow sea join great alliance imperialist “ tigers ” Volantis slaying Garse VII Gardener King Reach Battle Summerfield twenty years later . But Argilac grown older ; famous mane black hair gone grey prowess arms faded .
119,"North of the Blackwater, the riverlands were ruled by the bloody hand of Harren the Black of House Hoare, King of the Isles and the Rivers. Harren’s ironborn grandsire, Harwyn Hardhand, had taken the Trident from Argilac’s grandsire, Arrec, whose own forebears had thrown down the last of the river kings centuries earlier. Harren’s father had extended his domains east to Duskendale and Rosby. Harren himself had devoted most of his long reign, close on forty years, to building a gigantic castle beside the Gods Eye, but with Harrenhal at last nearing completion, the ironborn would soon be free to seek fresh conquests.",North Blackwater riverlands ruled bloody hand Harren Black House Hoare King Isles Rivers . Harren ’ ironborn grandsire Harwyn Hardhand taken Trident Argilac ’ grandsire Arrec whose forebears thrown last river kings centuries earlier . Harren ’ father extended domains east Duskendale Rosby . Harren devoted long reign close forty years building gigantic castle beside Gods Eye Harrenhal last nearing completion ironborn would soon free seek fresh conquests .
120,"No king in Westeros was more feared than Black Harren, whose cruelty had become legendary all through the Seven Kingdoms. And no king in Westeros felt more threatened than Argilac the Storm King, last of the Durrandon, an aging warrior whose only heir was his maiden daughter. Thus it was that King Argilac reached out to the Targaryens on Dragonstone, offering Lord Aegon his daughter in marriage, with all the lands east of the Gods Eye from the Trident to the Blackwater Rush as her dowry.",No king Westeros feared Black Harren whose cruelty become legendary Seven Kingdoms . And king Westeros felt threatened Argilac Storm King last Durrandon aging warrior whose heir maiden daughter . Thus King Argilac reached Targaryens Dragonstone offering Lord Aegon daughter marriage lands east Gods Eye Trident Blackwater Rush dowry .
121,"Aegon Targaryen spurned the Storm King’s proposal. He had two wives, he pointed out; he did not need a third. And the dower lands being offered had belonged to Harrenhal for more than a generation. They were not Argilac’s to give. Plainly, the aging Storm King meant to establish the Targaryens along the Blackwater as a buffer between his own lands and those of Harren the Black.",Aegon Targaryen spurned Storm King ’ proposal . He two wives pointed ; need third . And dower lands offered belonged Harrenhal generation . They Argilac ’ give . Plainly aging Storm King meant establish Targaryens along Blackwater buffer lands Harren Black .
122,The Lord of Dragonstone countered with an offer of his own. He,The Lord Dragonstone countered offer . He
124,"would take the dower lands being offered if Argilac would also cede Massey’s Hook and the woods and plains from the Blackwater south to the river Wendwater and the headwaters of the Mander. The pact would be sealed by the marriage of Argilac’s daughter to Orys Baratheon, Lord Aegon’s childhood friend and champion.",would take dower lands offered Argilac would also cede Massey ’ Hook woods plains Blackwater south river Wendwater headwaters Mander . The pact would sealed marriage Argilac ’ daughter Orys Baratheon Lord Aegon ’ childhood friend champion .
125,"These terms Argilac the Arrogant rejected angrily. Orys Baratheon was a baseborn half-brother to Lord Aegon, it was whispered, and the Storm King would not dishonor his daughter by giving her hand to a bastard. The very suggestion enraged him. Argilac had the hands of Aegon’s envoy cut off and returned to him in a box. “These are the only hands your bastard shall have of me,” he wrote.",These terms Argilac Arrogant rejected angrily . Orys Baratheon baseborn half-brother Lord Aegon whispered Storm King would dishonor daughter giving hand bastard . The suggestion enraged . Argilac hands Aegon ’ envoy cut returned box . “ These hands bastard shall ” wrote .
