Book,Page,Chapter,POV,NUN,FullName
Fire and Blood Vol. 1,27,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,Named,Ser Warrick Manderly
Fire and Blood Vol. 1,28,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,"Sunderland, son of Lord Steffon Sunderland fostered by the Manderlys"
Fire and Blood Vol. 1,28,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,"Sunderland, son of Lord Steffon Sunderland fostered by the Arryns"
Fire and Blood Vol. 1,29,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,"Qoherys, 1st son of Lord Quenton Qoherys"
Fire and Blood Vol. 1,29,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,"Qoherys, 2nd son of Lord Quenton Qoherys"
Fire and Blood Vol. 1,29,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,Wife of Quenton Qoherys
Fire and Blood Vol. 1,31,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,Named,Lord Uthor Uller
Fire and Blood Vol. 1,32,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,1st of the 12 Lords captured with Orys Baratheon and thought worth a ransom
Fire and Blood Vol. 1,32,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,2nd of the 12 Lords captured with Orys Baratheon and thought worth a ransom
Fire and Blood Vol. 1,32,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,3rd of the 12 Lords captured with Orys Baratheon and thought worth a ransom
Fire and Blood Vol. 1,32,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,4th of the 12 Lords captured with Orys Baratheon and thought worth a ransom
Fire and Blood Vol. 1,32,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,5th of the 12 Lords captured with Orys Baratheon and thought worth a ransom
Fire and Blood Vol. 1,32,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,6th of the 12 Lords captured with Orys Baratheon and thought worth a ransom
Fire and Blood Vol. 1,32,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,7th of the 12 Lords captured with Orys Baratheon and thought worth a ransom
Fire and Blood Vol. 1,32,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,8th of the 12 Lords captured with Orys Baratheon and thought worth a ransom
Fire and Blood Vol. 1,32,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,9th of the 12 Lords captured with Orys Baratheon and thought worth a ransom
Fire and Blood Vol. 1,32,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,10th of the 12 Lords captured with Orys Baratheon and thought worth a ransom
Fire and Blood Vol. 1,32,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,11th of the 12 Lords captured with Orys Baratheon and thought worth a ransom
Fire and Blood Vol. 1,32,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,12th of the 12 Lords captured with Orys Baratheon and thought worth a ransom
Fire and Blood Vol. 1,32,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,Lord Jordayne during the First Dornish War
Fire and Blood Vol. 1,32,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,US,Steward of Lord Jordayne who surrenders to Aegon I
Fire and Blood Vol. 1,34,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,US,Pirate king from the Stepstones who provides ships to the Dornish in 8 AC
Fire and Blood Vol. 1,34,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,Named,"Lord Addam Hightower, son of Lord Manfred Hightower"
Fire and Blood Vol. 1,34,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,Named,Garmon Hightower
Fire and Blood Vol. 1,34,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,"Wife of Lord Caron, captive of the Dornish"
Fire and Blood Vol. 1,34,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,"1st child of Lord Caron, captive of the Dornish"
Fire and Blood Vol. 1,34,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,"Other child(ren) of Lord Caron, captive of the Dornish"
Fire and Blood Vol. 1,35,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,US,Defender of Hellholt who shot a bolt through Meraxes's eye
Fire and Blood Vol. 1,35,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,Lord Vaith who died in the First Dornish War
Fire and Blood Vol. 1,35,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,Lady Toland who died in the First Dornish War
Fire and Blood Vol. 1,35,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,1st of the 3 Lords Uller who died in the First Dornish War after Lord Uthor Uller
Fire and Blood Vol. 1,35,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,2nd of the 3 Lords Uller who died in the First Dornish War after Lord Uthor Uller
Fire and Blood Vol. 1,35,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,3rd of the 3 Lords Uller who died in the First Dornish War after Lord Uthor Uller
Fire and Blood Vol. 1,35,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,1st killer of a Dornish Lord who lived to collect his reward
Fire and Blood Vol. 1,35,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,2nd killer of a Dornish Lord who lived to collect his reward
Fire and Blood Vol. 1,35,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,Lord Connington who was killed whilst hunting
Fire and Blood Vol. 1,35,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,Lord Mertyns who was poisoned with his whole household by a cask of Dornish wine
Fire and Blood Vol. 1,37,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,US,1st Dornish cutthroat who tried to assassinate Aegon I Targaryen
Fire and Blood Vol. 1,37,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,US,2nd Dornish cutthroat who tried to assassinate Aegon I Targaryen
Fire and Blood Vol. 1,37,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,US,3rd Dornish cutthroat who tried to assassinate Aegon I Targaryen
Fire and Blood Vol. 1,37,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,US,1st of Visenya's 2 guards to die during the third assassination attempt on Aegon I
Fire and Blood Vol. 1,37,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,US,2nd of Visenya's 2 guards to die during the third assassination attempt on Aegon I
Fire and Blood Vol. 1,37,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,Named,Ser Jon Cafferen
Fire and Blood Vol. 1,37,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,Named,Alys Oakheart/Cafferen
Fire and Blood Vol. 1,37,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,Lord Oakheart in 12 AC father of Alys
Fire and Blood Vol. 1,37,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,US,A treacherous servant
Fire and Blood Vol. 1,37,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,1st handmaiden of Alys Oakheart
Fire and Blood Vol. 1,37,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,Other handmaiden of Alys Oakheart
Fire and Blood Vol. 1,37,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,US,Myrish slaver who bought Alys and her handmaiden from the Wyl of Wyl
Fire and Blood Vol. 1,37,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,Dornish knight brought captive to Visenya Targaryen
Fire and Blood Vol. 1,37,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,UN,"Lord Oakheart in 13 AC, the successor of Alys's father"
Fire and Blood Vol. 1,38,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,Named,Grand Maester Lucan
Fire and Blood Vol. 1,38,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,Named,Grand Maester Clegg
Fire and Blood Vol. 1,39,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,US,"Scribe who wrote ""The toad hops into her hole when theatened"" speaking of Meria Martell"
Fire and Blood Vol. 1,39,Reign of the Dragon - The Wars of King Aegon I,Archmaester Gyldayn,US,"Scribe who wrote ""Meria fought like a woman, with lies and treachery and withchery"""
Fire and Blood Vol. 1,41,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,UN,"Lannister, eldest son and heir of Lord Loren Lannister"
Fire and Blood Vol. 1,41,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,UN,"Lannister, other son(s) of Lord Loren Lannister"
